titleType,primaryTitle,isAdult,year,runtimeMinutes,genres,averageRating,numVotes
movie,The Cabinet of Dr. Caligari,0,1920,76,Horror,8.1,61730
movie,The Cabinet of Dr. Caligari,0,1920,76,Mystery,8.1,61730
movie,The Cabinet of Dr. Caligari,0,1920,76,Thriller,8.1,61730
movie,The Kid,0,1921,68,Comedy,8.3,122903
movie,The Kid,0,1921,68,Drama,8.3,122903
movie,The Kid,0,1921,68,Family,8.3,122903
movie,Nosferatu,0,1922,94,Fantasy,7.9,94009
movie,Nosferatu,0,1922,94,Horror,7.9,94009
movie,Sherlock Jr.,0,1924,45,Action,8.2,47488
movie,Sherlock Jr.,0,1924,45,Comedy,8.2,47488
movie,Sherlock Jr.,0,1924,45,Romance,8.2,47488
movie,Battleship Potemkin,0,1925,75,Drama,8.0,56455
movie,Battleship Potemkin,0,1925,75,History,8.0,56455
movie,Battleship Potemkin,0,1925,75,Thriller,8.0,56455
movie,The Gold Rush,0,1925,95,Adventure,8.2,108450
movie,The Gold Rush,0,1925,95,Comedy,8.2,108450
movie,The Gold Rush,0,1925,95,Drama,8.2,108450
movie,Metropolis,0,1927,153,Drama,8.3,169733
movie,Metropolis,0,1927,153,Sci-Fi,8.3,169733
movie,The General,0,1926,67,Action,8.1,88644
movie,The General,0,1926,67,Adventure,8.1,88644
movie,The General,0,1926,67,Comedy,8.1,88644
movie,Sunrise,0,1927,94,Drama,8.1,50217
movie,Sunrise,0,1927,94,Romance,8.1,50217
movie,The Circus,0,1928,72,Comedy,8.1,32899
movie,The Circus,0,1928,72,Family,8.1,32899
movie,The Circus,0,1928,72,Romance,8.1,32899
movie,The Passion of Joan of Arc,0,1928,110,Biography,8.1,52677
movie,The Passion of Joan of Arc,0,1928,110,Drama,8.1,52677
movie,The Passion of Joan of Arc,0,1928,110,History,8.1,52677
movie,All Quiet on the Western Front,0,1930,152,Drama,8.1,60216
movie,All Quiet on the Western Front,0,1930,152,War,8.1,60216
movie,City Lights,0,1931,87,Comedy,8.5,179507
movie,City Lights,0,1931,87,Drama,8.5,179507
movie,City Lights,0,1931,87,Romance,8.5,179507
movie,Dracula,0,1931,75,Drama,7.5,50799
movie,Dracula,0,1931,75,Fantasy,7.5,50799
movie,Dracula,0,1931,75,Horror,7.5,50799
movie,Frankenstein,0,1931,70,Drama,7.8,70306
movie,Frankenstein,0,1931,70,Horror,7.8,70306
movie,Frankenstein,0,1931,70,Sci-Fi,7.8,70306
movie,M,0,1931,117,Crime,8.3,153500
movie,M,0,1931,117,Mystery,8.3,153500
movie,M,0,1931,117,Thriller,8.3,153500
movie,Freaks,0,1932,64,Drama,7.9,45125
movie,Freaks,0,1932,64,Horror,7.9,45125
movie,The Mummy,0,1932,73,Fantasy,7.1,25919
movie,The Mummy,0,1932,73,Horror,7.1,25919
movie,Scarface,0,1932,93,Action,7.7,27324
movie,Scarface,0,1932,93,Crime,7.7,27324
movie,Scarface,0,1932,93,Drama,7.7,27324
movie,Duck Soup,0,1933,69,Comedy,7.8,59336
movie,Duck Soup,0,1933,69,Musical,7.8,59336
movie,The Invisible Man,0,1933,71,Horror,7.7,33899
movie,The Invisible Man,0,1933,71,Sci-Fi,7.7,33899
movie,King Kong,0,1933,100,Adventure,7.9,83693
movie,King Kong,0,1933,100,Horror,7.9,83693
movie,King Kong,0,1933,100,Sci-Fi,7.9,83693
movie,It Happened One Night,0,1934,105,Comedy,8.1,100850
movie,It Happened One Night,0,1934,105,Romance,8.1,100850
movie,The Thin Man,0,1934,91,Comedy,8.0,28857
movie,The Thin Man,0,1934,91,Mystery,8.0,28857
movie,The 39 Steps,0,1935,86,Crime,7.6,55612
movie,The 39 Steps,0,1935,86,Mystery,7.6,55612
movie,The 39 Steps,0,1935,86,Thriller,7.6,55612
movie,The Bride of Frankenstein,0,1935,75,Drama,7.8,46987
movie,The Bride of Frankenstein,0,1935,75,Horror,7.8,46987
movie,The Bride of Frankenstein,0,1935,75,Sci-Fi,7.8,46987
movie,A Night at the Opera,0,1935,96,Comedy,7.9,32353
movie,A Night at the Opera,0,1935,96,Music,7.9,32353
movie,A Night at the Opera,0,1935,96,Musical,7.9,32353
movie,Modern Times,0,1936,87,Comedy,8.5,233928
movie,Modern Times,0,1936,87,Drama,8.5,233928
movie,Modern Times,0,1936,87,Romance,8.5,233928
movie,La Grande Illusion,0,1937,113,Drama,8.1,35859
movie,La Grande Illusion,0,1937,113,War,8.1,35859
movie,Snow White and the Seven Dwarfs,0,1937,83,Adventure,7.6,193093
movie,Snow White and the Seven Dwarfs,0,1937,83,Animation,7.6,193093
movie,Snow White and the Seven Dwarfs,0,1937,83,Family,7.6,193093
movie,The Adventures of Robin Hood,0,1938,102,Action,7.9,50083
movie,The Adventures of Robin Hood,0,1938,102,Adventure,7.9,50083
movie,The Adventures of Robin Hood,0,1938,102,Romance,7.9,50083
movie,Bringing Up Baby,0,1938,102,Comedy,7.9,60081
movie,The Lady Vanishes,0,1938,96,Mystery,7.8,51142
movie,The Lady Vanishes,0,1938,96,Thriller,7.8,51142
movie,You Can't Take It with You,0,1938,126,Comedy,7.9,25113
movie,You Can't Take It with You,0,1938,126,Drama,7.9,25113
movie,You Can't Take It with You,0,1938,126,Romance,7.9,25113
movie,Gone with the Wind,0,1939,238,Drama,8.1,306634
movie,Gone with the Wind,0,1939,238,History,8.1,306634
movie,Gone with the Wind,0,1939,238,Romance,8.1,306634
movie,Mr. Smith Goes to Washington,0,1939,129,Comedy,8.1,113253
movie,Mr. Smith Goes to Washington,0,1939,129,Drama,8.1,113253
movie,The Rules of the Game,0,1939,110,Comedy,8.0,28393
movie,The Rules of the Game,0,1939,110,Drama,8.0,28393
movie,Stagecoach,0,1939,96,Adventure,7.9,47434
movie,Stagecoach,0,1939,96,Drama,7.9,47434
movie,Stagecoach,0,1939,96,Western,7.9,47434
movie,The Wizard of Oz,0,1939,102,Adventure,8.0,384943
movie,The Wizard of Oz,0,1939,102,Family,8.0,384943
movie,The Wizard of Oz,0,1939,102,Fantasy,8.0,384943
movie,Fantasia,0,1940,125,Animation,7.7,93599
movie,Fantasia,0,1940,125,Family,7.7,93599
movie,Fantasia,0,1940,125,Fantasy,7.7,93599
movie,The Grapes of Wrath,0,1940,129,Drama,8.1,90355
movie,The Great Dictator,0,1940,125,Comedy,8.4,217454
movie,The Great Dictator,0,1940,125,Drama,8.4,217454
movie,The Great Dictator,0,1940,125,War,8.4,217454
movie,His Girl Friday,0,1940,92,Comedy,7.9,57250
movie,His Girl Friday,0,1940,92,Drama,7.9,57250
movie,His Girl Friday,0,1940,92,Romance,7.9,57250
movie,The Philadelphia Story,0,1940,112,Comedy,7.9,67604
movie,The Philadelphia Story,0,1940,112,Romance,7.9,67604
movie,Pinocchio,0,1940,88,Adventure,7.4,140060
movie,Pinocchio,0,1940,88,Animation,7.4,140060
movie,Pinocchio,0,1940,88,Comedy,7.4,140060
movie,Rebecca,0,1940,130,Drama,8.1,133472
movie,Rebecca,0,1940,130,Film-Noir,8.1,133472
movie,Rebecca,0,1940,130,Mystery,8.1,133472
movie,The Shop Around the Corner,0,1940,99,Comedy,8.1,32002
movie,The Shop Around the Corner,0,1940,99,Drama,8.1,32002
movie,The Shop Around the Corner,0,1940,99,Romance,8.1,32002
movie,Citizen Kane,0,1941,119,Drama,8.3,429785
movie,Citizen Kane,0,1941,119,Mystery,8.3,429785
movie,Dumbo,0,1941,64,Adventure,7.2,128043
movie,Dumbo,0,1941,64,Animation,7.2,128043
movie,Dumbo,0,1941,64,Drama,7.2,128043
movie,The Maltese Falcon,0,1941,100,Crime,8.0,155452
movie,The Maltese Falcon,0,1941,100,Film-Noir,8.0,155452
movie,The Maltese Falcon,0,1941,100,Mystery,8.0,155452
movie,Sullivan's Travels,0,1941,90,Adventure,7.9,25817
movie,Sullivan's Travels,0,1941,90,Comedy,7.9,25817
movie,Sullivan's Travels,0,1941,90,Drama,7.9,25817
movie,Suspicion,0,1941,99,Film-Noir,7.3,37333
movie,Suspicion,0,1941,99,Mystery,7.3,37333
movie,Suspicion,0,1941,99,Thriller,7.3,37333
movie,The Wolf Man,0,1941,70,Horror,7.3,26212
movie,The Wolf Man,0,1941,70,Mystery,7.3,26212
movie,The Wolf Man,0,1941,70,Romance,7.3,26212
movie,Bambi,0,1942,70,Adventure,7.3,138806
movie,Bambi,0,1942,70,Animation,7.3,138806
movie,Bambi,0,1942,70,Drama,7.3,138806
movie,Casablanca,0,1942,102,Drama,8.5,553050
movie,Casablanca,0,1942,102,Romance,8.5,553050
movie,Casablanca,0,1942,102,War,8.5,553050
movie,Saboteur,0,1942,109,Thriller,7.2,25233
movie,Saboteur,0,1942,109,War,7.2,25233
movie,Kate & Leopold,0,2001,118,Comedy,6.4,82794
movie,Kate & Leopold,0,2001,118,Fantasy,6.4,82794
movie,Kate & Leopold,0,2001,118,Romance,6.4,82794
movie,To Be or Not to Be,0,1942,99,Comedy,8.2,35186
movie,To Be or Not to Be,0,1942,99,Romance,8.2,35186
movie,To Be or Not to Be,0,1942,99,War,8.2,35186
movie,Shadow of a Doubt,0,1943,108,Film-Noir,7.8,63839
movie,Shadow of a Doubt,0,1943,108,Thriller,7.8,63839
movie,Arsenic and Old Lace,0,1943,118,Comedy,8.0,69582
movie,Arsenic and Old Lace,0,1943,118,Crime,8.0,69582
movie,Arsenic and Old Lace,0,1943,118,Thriller,8.0,69582
movie,Double Indemnity,0,1944,107,Crime,8.3,152622
movie,Double Indemnity,0,1944,107,Drama,8.3,152622
movie,Double Indemnity,0,1944,107,Film-Noir,8.3,152622
movie,Gaslight,0,1944,114,Crime,7.8,27481
movie,Gaslight,0,1944,114,Drama,7.8,27481
movie,Gaslight,0,1944,114,Mystery,7.8,27481
movie,The Best Years of Our Lives,0,1946,170,Drama,8.1,61999
movie,The Best Years of Our Lives,0,1946,170,Romance,8.1,61999
movie,The Best Years of Our Lives,0,1946,170,War,8.1,61999
movie,Laura,0,1944,88,Drama,8.0,46119
movie,Laura,0,1944,88,Film-Noir,8.0,46119
movie,Laura,0,1944,88,Mystery,8.0,46119
movie,Lifeboat,0,1944,97,Drama,7.6,28343
movie,Lifeboat,0,1944,97,War,7.6,28343
movie,To Have and Have Not,0,1944,100,Adventure,7.8,33698
movie,To Have and Have Not,0,1944,100,Comedy,7.8,33698
movie,To Have and Have Not,0,1944,100,Film-Noir,7.8,33698
movie,Brief Encounter,0,1945,86,Drama,8.0,38919
movie,Brief Encounter,0,1945,86,Romance,8.0,38919
movie,The Lost Weekend,0,1945,101,Drama,7.9,35992
movie,The Lost Weekend,0,1945,101,Film-Noir,7.9,35992
movie,Mildred Pierce,0,1945,111,Crime,8.0,25074
movie,Mildred Pierce,0,1945,111,Drama,8.0,25074
movie,Mildred Pierce,0,1945,111,Film-Noir,8.0,25074
movie,Spellbound,0,1945,111,Film-Noir,7.5,47519
movie,Spellbound,0,1945,111,Mystery,7.5,47519
movie,Spellbound,0,1945,111,Romance,7.5,47519
movie,Beauty and the Beast,0,1946,96,Drama,7.9,25963
movie,Beauty and the Beast,0,1946,96,Fantasy,7.9,25963
movie,Beauty and the Beast,0,1946,96,Romance,7.9,25963
movie,The Big Sleep,0,1946,114,Crime,7.9,83850
movie,The Big Sleep,0,1946,114,Film-Noir,7.9,83850
movie,The Big Sleep,0,1946,114,Mystery,7.9,83850
movie,Gilda,0,1946,110,Drama,7.6,31527
movie,Gilda,0,1946,110,Film-Noir,7.6,31527
movie,Gilda,0,1946,110,Romance,7.6,31527
movie,It's a Wonderful Life,0,1946,130,Comedy,8.6,439312
movie,It's a Wonderful Life,0,1946,130,Drama,8.6,439312
movie,It's a Wonderful Life,0,1946,130,Family,8.6,439312
movie,Notorious,0,1946,102,Drama,8.0,98890
movie,Notorious,0,1946,102,Film-Noir,8.0,98890
movie,Notorious,0,1946,102,Romance,8.0,98890
movie,"Rome, Open City",0,1945,103,Drama,8.1,25694
movie,"Rome, Open City",0,1945,103,Thriller,8.1,25694
movie,"Rome, Open City",0,1945,103,War,8.1,25694
movie,The Stranger,0,1946,95,Crime,7.4,25997
movie,The Stranger,0,1946,95,Drama,7.4,25997
movie,The Stranger,0,1946,95,Film-Noir,7.4,25997
movie,Miracle on 34th Street,0,1947,96,Comedy,7.9,47060
movie,Miracle on 34th Street,0,1947,96,Drama,7.9,47060
movie,Miracle on 34th Street,0,1947,96,Family,7.9,47060
movie,Out of the Past,0,1947,97,Crime,8.0,36032
movie,Out of the Past,0,1947,97,Drama,8.0,36032
movie,Out of the Past,0,1947,97,Film-Noir,8.0,36032
movie,Key Largo,0,1948,100,Action,7.8,39828
movie,Key Largo,0,1948,100,Crime,7.8,39828
movie,Key Largo,0,1948,100,Drama,7.8,39828
movie,Bicycle Thieves,0,1948,89,Drama,8.3,158794
movie,The Lady from Shanghai,0,1947,87,Crime,7.6,29560
movie,The Lady from Shanghai,0,1947,87,Drama,7.6,29560
movie,The Lady from Shanghai,0,1947,87,Film-Noir,7.6,29560
movie,Red River,0,1948,133,Drama,7.8,30458
